team,strength,win_percentage,avg_goals_for,avg_goals_against,matches,wins,home_win_percentage,away_win_percentage
belize,weak,26.666666666666668,1.2666666666666666,2.2,30,8,30.76923076923077,23.52941176470588
benin,weak,32.142857142857146,1.0178571428571428,1.7857142857142858,56,18,50.0,14.285714285714285
bermuda,weak,38.095238095238095,2.0238095238095237,1.5476190476190477,42,16,45.45454545454545,30.0
bhutan,weak,28.57142857142857,0.7857142857142857,4.428571428571429,14,4,42.857142857142854,14.285714285714285
bolivia,weak,25.0,1.1436170212765957,2.0,188,47,45.744680851063826,4.25531914893617
bosnia and herzegovina,medium,45.07042253521127,1.8028169014084507,1.2112676056338028,71,32,48.57142857142857,41.66666666666667
botswana,weak,30.952380952380953,1.0,1.4523809523809523,42,13,40.909090909090914,20.0
brazil,strong,64.31372549019608,2.1019607843137256,0.7803921568627451,255,164,71.97452229299363,52.04081632653062
british virgin islands,weak,0.0,0.4444444444444444,3.388888888888889,18,0,0.0,0.0
brunei,weak,11.11111111111111,0.2777777777777778,4.111111111111111,18,2,11.11111111111111,11.11111111111111
bulgaria,weak,39.87730061349693,1.4539877300613497,1.4969325153374233,163,65,56.79012345679012,23.170731707317074
burkina faso,medium,44.44444444444444,1.5555555555555556,1.2361111111111112,72,32,52.77777777777778,36.11111111111111
burundi,weak,35.714285714285715,1.1428571428571428,1.25,28,10,40.0,30.76923076923077
cambodia,weak,10.526315789473683,0.5789473684210527,3.5789473684210527,38,4,15.789473684210526,5.263157894736842
cameroon,strong,51.181102362204726,1.5118110236220472,0.9606299212598425,127,65,65.625,36.507936507936506
canada,medium,44.95412844036697,1.6055045871559632,1.1192660550458715,109,49,61.81818181818181,27.77777777777778
cape verde,weak,43.47826086956522,1.065217391304348,1.2391304347826086,46,20,56.52173913043478,30.434782608695656
cayman islands,weak,4.761904761904762,0.42857142857142855,2.6666666666666665,21,1,8.333333333333332,0.0
central african republic,weak,13.636363636363635,0.9090909090909091,1.9545454545454546,22,3,22.22222222222222,7.6923076923076925
chad,weak,25.0,0.7083333333333334,1.7083333333333333,24,6,36.36363636363637,15.384615384615385
chile,weak,37.142857142857146,1.3476190476190477,1.380952380952381,210,78,51.37614678899083,21.782178217821784
china pr,strong,53.84615384615385,1.986013986013986,0.9300699300699301,143,77,63.51351351351351,43.47826086956522
