date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winner,month
2021-10-10,argentina,uruguay,3,0,fifa world cup qualification,buenos aires,argentina,False,home_team,october
2021-10-10,chile,paraguay,2,0,fifa world cup qualification,santiago,chile,False,home_team,october
2021-10-11,belarus,czech republic,0,2,fifa world cup qualification,kazan,russia,True,away_team,october
2021-10-11,estonia,wales,0,1,fifa world cup qualification,tallinn,estonia,False,away_team,october
2021-10-11,netherlands,gibraltar,6,0,fifa world cup qualification,rotterdam,netherlands,False,home_team,october
2021-10-11,norway,montenegro,2,0,fifa world cup qualification,oslo,norway,False,home_team,october
2021-10-11,latvia,turkey,1,2,fifa world cup qualification,riga,latvia,False,away_team,october
2021-10-11,cyprus,malta,2,2,fifa world cup qualification,larnaca,cyprus,False,draw,october
2021-10-11,croatia,slovakia,2,2,fifa world cup qualification,osijek,croatia,False,draw,october
2021-10-11,slovenia,russia,1,2,fifa world cup qualification,maribor,slovenia,False,away_team,october
2021-10-11,iceland,liechtenstein,4,0,fifa world cup qualification,reykjavík,iceland,False,home_team,october
2021-10-11,north macedonia,germany,0,4,fifa world cup qualification,skopje,north macedonia,False,away_team,october
2021-10-11,romania,armenia,1,0,fifa world cup qualification,bucharest,romania,False,home_team,october
2021-10-11,burkina faso,djibouti,2,0,fifa world cup qualification,marrakech,morocco,True,home_team,october
2021-10-11,cameroon,mozambique,0,1,fifa world cup qualification,tangier,morocco,True,away_team,october
2021-10-11,ivory coast,malawi,2,1,fifa world cup qualification,cotonou,benin,True,home_team,october
2021-10-11,gabon,angola,2,0,fifa world cup qualification,franceville,gabon,False,home_team,october
2021-10-11,libya,egypt,0,3,fifa world cup qualification,benina,libya,False,away_team,october
2021-10-12,iran,south korea,1,1,fifa world cup qualification,tehran,iran,False,draw,october
2021-10-12,lebanon,syria,2,3,fifa world cup qualification,amman,jordan,True,away_team,october
2021-10-12,united arab emirates,iraq,2,2,fifa world cup qualification,dubai,united arab emirates,False,draw,october
2021-10-12,japan,australia,2,1,fifa world cup qualification,saitama,japan,False,home_team,october
2021-10-12,oman,vietnam,3,1,fifa world cup qualification,muscat,oman,False,home_team,october
2021-10-12,saudi arabia,china pr,3,2,fifa world cup qualification,jeddah,saudi arabia,False,home_team,october
2021-10-12,portugal,luxembourg,5,0,fifa world cup qualification,faro-loulé,portugal,False,home_team,october
2021-10-12,serbia,azerbaijan,3,1,fifa world cup qualification,belgrade,serbia,False,home_team,october
2021-10-12,kosovo,georgia,1,2,fifa world cup qualification,pristina,kosovo,False,away_team,october
2021-10-12,sweden,greece,2,0,fifa world cup qualification,stockholm,sweden,False,home_team,october
2021-10-12,bulgaria,northern ireland,2,1,fifa world cup qualification,sofia,bulgaria,False,home_team,october
2021-10-12,lithuania,switzerland,0,4,fifa world cup qualification,vilnius,lithuania,False,away_team,october
2021-10-12,kazakhstan,finland,0,2,fifa world cup qualification,nur-sultan,kazakhstan,False,away_team,october
2021-10-12,ukraine,bosnia and herzegovina,1,1,fifa world cup qualification,lviv,ukraine,False,draw,october
2021-10-12,faroe islands,scotland,0,1,fifa world cup qualification,tórshavn,faroe islands,False,away_team,october
2021-10-12,denmark,austria,1,0,fifa world cup qualification,copenhagen,denmark,False,home_team,october
2021-10-12,israel,moldova,2,1,fifa world cup qualification,beer sheva,israel,False,home_team,october
2021-10-12,england,hungary,1,1,fifa world cup qualification,london,england,False,draw,october
2021-10-12,albania,poland,0,1,fifa world cup qualification,tirana,albania,False,away_team,october
2021-10-12,san marino,andorra,0,3,fifa world cup qualification,serravalle,san marino,False,away_team,october
2021-10-12,niger,algeria,0,4,fifa world cup qualification,niamey,niger,False,away_team,october
2021-10-12,zimbabwe,ghana,0,1,fifa world cup qualification,harare,zimbabwe,False,away_team,october
2021-10-12,south africa,ethiopia,1,0,fifa world cup qualification,johannesburg,south africa,False,home_team,october
2021-10-12,namibia,senegal,1,3,fifa world cup qualification,johannesburg,south africa,True,away_team,october
2021-10-12,congo,togo,1,2,fifa world cup qualification,brazzaville,congo,False,away_team,october
2021-10-12,morocco,guinea,4,1,fifa world cup qualification,agadir,morocco,False,home_team,october
2021-10-13,honduras,jamaica,0,2,fifa world cup qualification,san pedro sula,honduras,False,away_team,october
2021-10-13,united states,costa rica,2,1,fifa world cup qualification,columbus,united states,False,home_team,october
2021-10-13,canada,panama,4,1,fifa world cup qualification,toronto,canada,False,home_team,october
